, case_id,province,city,group,infection_case,confirmed,latitude,longitude
133,4100007,Chungcheongnam-do,from other city,False,contact with patient,2,37.000354,126.354443
134,4100008,Chungcheongnam-do,from other city,False,contact with patient,12,37.000354,126.354443
135,5000001,Jeollabuk-do,from other city,True,Itaewon Clubs,2,37.000354,126.354443
136,5000002,Jeollabuk-do,from other city,True,Door-to-door sales in Daejeon,3,37.000354,126.354443
137,5000003,Jeollabuk-do,from other city,True,Shincheonji Church,1,37.000354,126.354443
138,5000004,Jeollabuk-do,from other city,False,overseas inflow,12,37.000354,126.354443
139,5000005,Jeollabuk-do,from other city,False,overseas inflow,5,37.000354,126.354443
140,5100001,Jeollanam-do,Muan-gun,True,Manmin Central Church,2,35.078825,126.316746
141,5100002,Jeollanam-do,from other city,True,Shincheonji Church,1,35.078825,126.316746
142,5100003,Jeollanam-do,from other city,False,overseas inflow,14,35.078825,126.316746
143,5100004,Jeollanam-do,from other city,False,contact with patient,4,35.078825,126.316746
144,5100005,Jeollanam-do,from other city,False,contact with patient,4,35.078825,126.316746
145,6000001,Gyeongsangbuk-do,from other city,True,Shincheonji Church,566,35.078825,126.316746
146,6000002,Gyeongsangbuk-do,Cheongdo-gun,True,Cheongdo Daenam Hospital,119,35.64887,128.7368
147,6000003,Gyeongsangbuk-do,Bonghwa-gun,True,Bonghwa Pureun Nursing Home,68,36.92757,128.9099
148,6000004,Gyeongsangbuk-do,Gyeongsan-si,True,Gyeongsan Seorin Nursing Home,66,35.782149,128.801498
149,6000005,Gyeongsangbuk-do,from other city,True,Pilgrimage to Israel,41,35.782149,128.801498
150,6000006,Gyeongsangbuk-do,Yechun-gun,True,Yechun-gun,40,36.646845,128.437416
151,6000007,Gyeongsangbuk-do,Chilgok-gun,True,Milal Shelter,36,36.0581,128.4941
152,6000008,Gyeongsangbuk-do,Gyeongsan-si,True,Gyeongsan Jeil Silver Town,17,35.84819,128.7621
153,6000009,Gyeongsangbuk-do,Gyeongsan-si,True,Gyeongsan Cham Joeun Community Center,16,35.82558,128.7373
154,6000010,Gyeongsangbuk-do,Gumi-si,True,Gumi Elim Church,10,35.82558,128.7373
155,6000011,Gyeongsangbuk-do,from other city,False,overseas inflow,22,35.82558,128.7373
156,6000012,Gyeongsangbuk-do,from other city,False,contact with patient,190,35.82558,128.7373
157,6000013,Gyeongsangbuk-do,from other city,False,contact with patient,133,35.82558,128.7373
158,6100001,Gyeongsangnam-do,from other city,True,Shincheonji Church,32,35.82558,128.7373
159,6100002,Gyeongsangnam-do,Geochang-gun,True,Geochang Church,10,35.68556,127.9127
160,6100003,Gyeongsangnam-do,Jinju-si,True,Wings Tower,9,35.164845,128.126969
161,6100004,Gyeongsangnam-do,Geochang-gun,True,Geochang-gun Woongyang-myeon,8,35.805681,127.917805
162,6100005,Gyeongsangnam-do,Changwon-si,True,Hanmaeum Changwon Hospital,7,35.22115,128.6866
163,6100006,Gyeongsangnam-do,Changnyeong-gun,True,Changnyeong Coin Karaoke,7,35.54127,128.5008
164,6100007,Gyeongsangnam-do,Yangsan-si,True,Soso Seowon,3,35.338811,129.017508
165,6100008,Gyeongsangnam-do,from other city,True,Itaewon Clubs,2,35.338811,129.017508
166,6100009,Gyeongsangnam-do,from other city,True,Onchun Church,2,35.338811,129.017508
167,6100010,Gyeongsangnam-do,from other city,False,overseas inflow,26,35.338811,129.017508
168,6100011,Gyeongsangnam-do,from other city,False,contact with patient,6,35.338811,129.017508
169,6100012,Gyeongsangnam-do,from other city,False,contact with patient,20,35.338811,129.017508
170,7000001,Jeju-do,from other city,False,overseas inflow,14,35.338811,129.017508
171,7000002,Jeju-do,from other city,False,contact with patient,0,35.338811,129.017508
172,7000003,Jeju-do,from other city,False,contact with patient,4,35.338811,129.017508
173,7000004,Jeju-do,from other city,True,Itaewon Clubs,1,35.338811,129.017508
